SMILES,pCHEMBL,Molecular Weight,logP,pCHEMBL_norm
Oc1c(Br)cc2[nH]c3cnccc3c2c1Br,5.31,341.99,3.95,0.187142857142857
Nc1nc(SCCN2CCN(c3ccc(F)cc3F)CC2)cc2nc(-c3ccco3)nn12,8.85,457.51,3.16,0.6928571428571428
Nc1nc(-c2ccco2)c2c(n1)-c1ccccc1C2=O,10.0,263.26,2.53,0.8571428571428571
CC(C)OC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1NCCc1ccccc1,5.82,462.98,5.63,0.26
O=C(N/N=N/c1nc(Nc2ccccc2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Nc1ccccc1,7.61,505.5,2.0,0.5157142857142858
CCn1c(=O)c2[nH]c(-c3ccco3)nc2n(CCCOC)c1=O,6.31,318.33,1.2,0.3299999999999999
O=C(c1ccc[nH]1)c1nc(C(F)(F)F)nc2ccsc12,6.93,297.26,3.27,0.4185714285714285
CCCn1c(=O)c2[nH]c(-c3ccc(C(C)=O)cc3)c(O)c2n(CCC)c1=O,6.49,369.42,2.89,0.3557142857142857
CC(=O)Nc1cc(-c2cccc(N3CCN(C)CC3)n2)nc(-n2nc(C)cc2C)n1,8.15,406.49,2.05,0.5928571428571429
CCCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,7.92,416.45,4.1,0.5599999999999999
Cn1c(Cc2cccs2)nc2c1c(=O)n(CC1CC1)c(=O)n2Cc1ccco1,6.31,396.47,2.6,0.3299999999999999
CC(C)Nc1ncc(C(=O)O)c2nc(-c3ccco3)nn12,5.12,287.28,1.9,0.16
Cc1cc(C)n(-c2cc(NC(=O)CN3CCN(C)CC3)nc(-c3nccs3)n2)n1,8.05,412.52,1.59,0.5785714285714286
c1coc(-c2nc3[nH]ccc3cc2-c2ccncn2)c1,6.21,262.27,3.28,0.3157142857142857
Cn1cc2c(nc(N)n3nc(-c4ccccc4)nc23)n1,6.92,265.28,1.26,0.4171428571428571
COCC(C)(C)Oc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,8.68,561.65,2.25,0.6685714285714285
CCNc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.93,425.45,-0.05,0.2757142857142857
Cn1cc2c(nc(N)n3nc(-c4ccc(Cl)cc4)nc23)n1,5.7,299.73,1.91,0.2428571428571428
Clc1ccc(Nc2nc3c(N4CCCCC4)ncnc3s2)cc1,4.88,345.86,4.47,0.1257142857142857
CC1=C(C(=O)Nc2nc3ccccc3s2)C(c2ccco2)C(C#N)=C(SCC(N)=O)N1,5.2,451.53,3.44,0.1714285714285714
Nc1cccc(CC2SC(=O)NC2=O)c1,5.15,222.27,1.16,0.1642857142857143
CCOC(=O)c1cnc(NN)n2nc(-c3ccco3)nc12,7.2,288.27,0.85,0.4571428571428572
COc1ccc(-n2nc3c(NC(C)=O)nc4c(N)cccc4n3c2=O)cc1,5.96,364.37,1.58,0.2799999999999999
CNC(=O)c1cnn(-c2nc(N[C@H]3CCCO3)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,6.14,460.45,-1.47,0.3057142857142856
Cn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,5.54,339.4,0.89,0.22
Nc1nc(OCCc2c[nH]c3ccc(Br)cc23)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.3,505.33,0.89,0.3285714285714285
